region;settlement;latitude_dd;longitude_dd;population;latitude_rad;longitude_rad
Алтайский край;Алейск;52.4922222222222;82.7794444444445;29249;0.916162109466312;1.4447738585272847
Алтайский край;Алексеевка;52.0591666666667;84.1322222222222;1350;0.9086038641778152;1.4683842847973179
Алтайский край;Алтайское;52.369027777777745;82.0477777777778;15594;0.914011960790591;1.432003866166859
Алтайский край;Анисимово;54.0225;83.6205555555556;1143;0.9428704951586367;1.4594540167912813
Алтайский край;Антипино;53.2958333333333;85.8411111111111;1333;0.9301877692608106;1.4982100224591768
Алтайский край;Антоньевка;51.9961111111111;83.9719444444444;1415;0.9075033371216958;1.4655869098573155
Алтайский край;Ая;51.9472222222222;85.81;2230;0.9066500650429429;1.4976670311363343
Алтайский край;Баево;53.2677777777778;80.7688888888889;4105;0.929698107442891;1.4096830442885757
Алтайский край;Бажево;53.4144444444444;83.9933333333333;1108;0.9322579236791482;1.46596021639177
Алтайский край;Барановка;51.0519444444444;82.2061111111111;1752;0.8910245201007821;1.4347673041491829
Алтайский край;Барнаул;53.3480555555556;83.78;633432;0.9310992189812979;1.4622368473208494
Алтайский край;Баюновские Ключи;53.3344444444444;84.2002777777778;1611;0.9308616602775527;1.4695720783160369
Алтайский край;Безрукавка;51.5841666666667;81.2805555555556;1612;0.9003135502308421;1.4186133122946138
Алтайский край;Белово;52.9463888888889;82.2605555555556;1378;0.9240888131524534;1.4357175389641583
Алтайский край;Беловский;52.8941666666667;84.6391666666667;1298;0.9231773634319679;1.4772321344775678
Алтайский край;Белокуриха;51.9961111111111;84.9838888888889;15160;0.9075033371216958;1.4832486722601368
Алтайский край;Бельмесево;53.2027777777778;83.6977777777778;2499;0.9285636434290946;1.4608017988247655
Алтайский край;Березовка;52.3536111111111;85.8252777777778;1202;0.9137428891975755;1.4979336786609447
Алтайский край;Берёзовка;52.6251388888889;83.4784722222222;6805;0.9184819429304216;1.4569741948124049
Алтайский край;Бийск;52.5391666666667;85.2138888888889;200576;0.9169814445873881;1.4872629295397237
Алтайский край;Благовещенка;52.8338888888889;79.8686111111111;11445;0.9221253177439598;1.3939702328838153
Алтайский край;Бобровка;53.1805555555556;83.8816666666667;3747;0.9281757924842075;1.4640112653937107
Алтайский край;Борзовая Заимка;53.2897222222222;83.6586111111111;2355;0.9300811102509667;1.4601182115344005
Алтайский край;Боровиха;53.5063888888889;83.8413888888889;7384;0.9338626569636217;1.4633082855561015
Алтайский край;Боровлянка;52.6327777777778;84.4469444444444;1250;0.918615266692727;1.4738772238042885
Алтайский край;Бочкари;52.885;85.7644444444445;1591;0.9230173749172011;1.4968719366993157
Алтайский край;Буканское;52.7994444444444;81.8091666666667;1031;0.9215241487793829;1.4278393166461283
Алтайский край;Буланиха;52.8016666666667;84.9308333333333;2471;0.9215629338738731;1.4823226781292167
